player,match_count,total_run_bat,balls_faced,total_wicket,total_run_bowl,balling_over,6_count,4_count,2_count,1_count,batting_average,strike_rate,bowling_economy,highest_run,MOTM_count
SC Ganguly,56,1349,1257,12,370,46.0,42,137,54,427,24.98148148148148,107.31901352426412,8.043478260869565,91,5
P Kumar,57,340,312,102,3342,420.4000000000001,17,22,24,102,10.0,108.97435897435898,7.949571836346335,34,2
BB McCullum,109,2882,2176,0,0,0.0,130,293,103,715,27.18867924528302,132.44485294117646,0.0,158,5
Z Khan,27,117,140,119,2860,366.4000000000001,2,11,7,47,7.8,83.57142857142857,7.805676855895195,23,1
AA Noffke,1,9,10,1,41,4.0,0,1,0,5,9.0,90.0,10.25,9,0
RT Ponting,9,91,128,0,0,0.0,2,5,6,47,11.375,71.09375,0.0,28,0
JH Kallis,95,2427,2213,74,2348,290.20000000000005,44,255,113,888,27.269662921348313,109.6701310438319,8.090971743625085,89,10
SB Joshi,2,6,14,1,82,9.1,0,0,0,6,3.0,42.857142857142854,9.010989010989011,3,0
DJ Hussey,61,1322,1070,10,485,52.50000000000001,60,90,72,452,26.979591836734695,123.55140186915888,9.238095238095237,71,2
CL White,45,971,757,1,86,6.599999999999998,38,76,49,335,27.742857142857144,128.26948480845442,13.030303030303035,78,1
Mohammad Hafeez,8,64,83,2,71,9.599999999999998,2,7,0,24,8.0,77.10843373493977,7.395833333333335,16,0
R Dravid,82,2174,1878,0,0,0.0,28,269,118,681,28.233766233766232,115.76144834930777,0.0,75,2
AB Dinda,16,26,48,82,2103,252.39999999999998,0,2,1,16,2.888888888888889,54.166666666666664,8.332012678288432,7,2
W Jaffer,8,130,121,0,0,0.0,3,14,6,41,18.571428571428573,107.43801652892562,0.0,50,0
I Sharma,21,57,69,96,3255,384.5000000000001,2,4,3,23,8.142857142857142,82.6086956521739,8.465539661898568,10,4
V Kohli,244,8014,6051,5,371,41.50000000000001,273,708,445,2591,36.76146788990825,132.44091885638738,8.939759036144578,113,18
AB Agarkar,18,179,151,33,1174,130.2,5,13,15,67,22.375,118.54304635761589,9.01689708141321,39,0
MV Boucher,23,394,307,0,0,0.0,13,32,29,127,26.266666666666666,128.33876221498372,0.0,50,2
B Akhil,11,76,55,7,246,31.200000000000003,5,5,5,16,10.857142857142858,138.1818181818182,7.884615384615384,27,0
LR Shukla,33,405,350,17,458,52.2,16,33,20,137,13.96551724137931,115.71428571428571,8.773946360153257,48,1
PA Patel,136,2848,2350,0,0,0.0,49,365,127,811,22.4251968503937,121.19148936170212,0.0,81,5
B Lee,19,124,96,30,1126,145.49999999999997,8,8,4,36,12.4,129.16666666666666,7.738831615120277,25,2
ML Hayden,32,1107,799,0,0,0.0,44,121,48,257,39.535714285714285,138.54818523153943,0.0,93,4
S Sreesanth,12,34,55,43,1221,146.39999999999998,0,6,2,6,11.333333333333334,61.81818181818182,8.340163934426231,15,1
MEK Hussey,58,1977,1610,0,0,0.0,52,198,96,648,38.01923076923077,122.79503105590062,0.0,116,12
