Season no,Year,total_run_in_season,total_number_of_innings,average_run_per_match,targets_200+,orange_cap_holder,orange_cap_run,purple_cap_holder,purple_cap_wicket
1,2007/08,17937,116,154.63,7,SE Marsh,616,Sohail Tanvir,22
2,2009,16353,114,143.45,1,ML Hayden,572,RP Singh,23
3,2009/10,18883,120,157.36,5,SR Tendulkar,618,PP Ojha,21
4,2011,21154,146,144.89,4,CH Gayle,608,SL Malinga,28
5,2012,22453,148,151.71,4,CH Gayle,733,M Morkel,25
6,2013,22602,152,148.7,4,MEK Hussey,733,DJ Bravo,32
7,2014,18931,120,157.76,5,RV Uthappa,660,MM Sharma,23
8,2015,18353,118,155.53,7,DA Warner,562,DJ Bravo,26
9,2016,18862,120,157.18,5,V Kohli,973,B Kumar,23
10,2017,18786,118,159.2,8,DA Warner,641,B Kumar,26
11,2018,19901,120,165.84,11,KS Williamson,735,AJ Tye,24
12,2019,19434,120,161.95,8,DA Warner,692,Imran Tahir,26
13,2020/21,19416,120,161.8,9,KL Rahul,676,K Rabada,32
14,2021,18637,120,155.31,6,RD Gaikwad,635,HV Patel,32
15,2022,24395,148,164.83,13,JC Buttler,863,YS Chahal,27
16,2023,25688,148,173.57,24,Shubman Gill,890,Mohammed Shami,28
17,2024,25971,142,182.89,26,V Kohli,741,HV Patel,24
