team_name,season_no,total_runs,total_matches,average_score
Chennai Super Kings,1,2520,16,157.5
Chennai Super Kings,2,2231,14,159.35714285714286
Chennai Super Kings,3,2604,16,162.75
Chennai Super Kings,4,2560,16,160.0
Chennai Super Kings,5,2831,18,157.27777777777777
Chennai Super Kings,6,2778,18,154.33333333333334
Chennai Super Kings,7,2650,16,165.625
Chennai Super Kings,8,2725,17,160.2941176470588
Chennai Super Kings,11,2809,16,175.5625
Chennai Super Kings,12,2473,17,145.47058823529412
Chennai Super Kings,13,2191,14,156.5
Chennai Super Kings,14,2733,16,170.8125
Chennai Super Kings,15,2288,14,163.42857142857142
Chennai Super Kings,16,2712,15,180.8
Chennai Super Kings,17,2524,14,180.28571428571428
Delhi Capitals,1,2118,14,151.28571428571428
Delhi Capitals,2,2131,15,142.06666666666666
Delhi Capitals,3,2155,14,153.92857142857142
Delhi Capitals,4,2087,14,149.07142857142858
Delhi Capitals,5,2645,18,146.94444444444446
Delhi Capitals,6,2245,16,140.3125
Delhi Capitals,7,2081,14,148.64285714285714
Delhi Capitals,8,2168,14,154.85714285714286
Delhi Capitals,9,2104,14,150.28571428571428
Delhi Capitals,10,2219,14,158.5
Delhi Capitals,11,2343,14,167.35714285714286
Delhi Capitals,12,2529,16,158.0625
Delhi Capitals,13,2780,17,163.52941176470588
Delhi Capitals,14,2495,16,155.9375
Delhi Capitals,15,2341,14,167.21428571428572
Delhi Capitals,16,2182,14,155.85714285714286
Delhi Capitals,17,2573,14,183.78571428571428
Gujarat Lions,9,2450,16,153.125
Gujarat Lions,10,2412,14,172.28571428571428
Gujarat Titans,15,2663,16,166.4375
Gujarat Titans,16,3054,17,179.64705882352942
Gujarat Titans,17,2040,12,170.0
Kochi Tuskers Kerala,4,1901,14,135.78571428571428
Kolkata Knight Riders,1,1942,13,149.3846153846154
Kolkata Knight Riders,2,1772,13,136.30769230769232
Kolkata Knight Riders,3,2144,14,153.14285714285714
Kolkata Knight Riders,4,2023,15,134.86666666666667
Kolkata Knight Riders,5,2504,17,147.2941176470588
Kolkata Knight Riders,6,2290,16,143.125
Kolkata Knight Riders,7,2499,16,156.1875
Kolkata Knight Riders,8,2044,13,157.23076923076923
Kolkata Knight Riders,9,2263,15,150.86666666666667
Kolkata Knight Riders,10,2484,16,155.25
Kolkata Knight Riders,11,2759,16,172.4375
Kolkata Knight Riders,12,2473,14,176.64285714285714
Kolkata Knight Riders,13,2222,14,158.71428571428572
Kolkata Knight Riders,14,2559,17,150.52941176470588
Kolkata Knight Riders,15,2223,14,158.78571428571428
Kolkata Knight Riders,16,2463,14,175.92857142857142
Kolkata Knight Riders,17,2667,14,190.5
Lucknow Super Giants,15,2548,15,169.86666666666667
Lucknow Super Giants,16,2479,15,165.26666666666668
Lucknow Super Giants,17,2483,14,177.35714285714286
Mumbai Indians,1,2080,14,148.57142857142858
Mumbai Indians,2,1897,13,145.92307692307693
Mumbai Indians,3,2738,16,171.125
Mumbai Indians,4,2288,16,143.0
Mumbai Indians,5,2462,17,144.8235294117647
Mumbai Indians,6,2975,19,156.57894736842104
Mumbai Indians,7,2353,15,156.86666666666667
Mumbai Indians,8,2734,16,170.875
Mumbai Indians,9,2194,14,156.71428571428572
