season_no,bowler,wickets,economy_rate
1,Sohail Tanvir,22,6.194331983805668
1,S Sreesanth,19,8.032573289902281
1,SK Warne,19,7.6923076923076925
1,JA Morkel,17,8.020833333333334
1,MS Gony,17,7.4
1,PP Chawla,17,8.156583629893237
1,SR Watson,17,6.886153846153847
1,VY Mahesh,16,8.32411067193676
1,IK Pathan,15,6.452830188679245
1,MF Maharoof,15,6.777777777777778
2,RP Singh,23,6.687150837988827
2,A Kumble,21,5.847887323943662
2,A Nehra,19,6.431372549019608
2,PP Ojha,18,6.598130841121495
2,SL Malinga,18,6.121212121212121
2,IK Pathan,17,7.66887417218543
2,MM Patel,16,6.401913875598086
2,DP Nannes,15,7.292929292929293
2,PJ Sangwan,15,7.564285714285715
2,A Mishra,14,6.853754940711463
3,PP Ojha,21,7.2747875354107645
3,A Kumble,17,6.315789473684211
3,A Mishra,17,6.69811320754717
3,Harbhajan Singh,17,6.878504672897196
3,M Muralitharan,16,6.924657534246576
3,R Vinay Kumar,16,8.425992779783394
3,DW Steyn,15,6.5423728813559325
3,IK Pathan,15,9.129496402877697
3,KA Pollard,15,7.135135135135135
3,SL Malinga,15,6.857142857142857
4,SL Malinga,28,5.809523809523809
4,MM Patel,22,6.883435582822085
4,S Aravind,21,7.934782608695652
4,R Ashwin,20,6.126984126984127
4,A Mishra,19,6.84375
4,DE Bollinger,17,6.914893617021277
4,Iqbal Abdulla,16,6.16
4,PP Chawla,16,7.935483870967741
4,R Sharma,16,5.52
4,RJ Harris,16,8.042553191489361
5,M Morkel,25,7.095238095238095
5,SP Narine,24,5.509859154929578
5,SL Malinga,22,6.054054054054054
5,R Vinay Kumar,19,8.453731343283582
5,UT Yadav,19,7.114754098360656
5,DW Steyn,18,5.914285714285715
5,P Awana,17,7.829787234042553
5,Z Khan,17,7.616666666666666
5,KA Pollard,16,7.505703422053232
5,PP Chawla,16,7.350877192982456
6,DJ Bravo,32,7.808
6,JP Faulkner,28,6.649076517150396
6,Harbhajan Singh,24,6.414285714285715
6,MG Johnson,24,7.0
6,R Vinay Kumar,23,8.321525885558584
6,SP Narine,22,5.46875
6,A Mishra,21,6.193548387096774
6,MM Sharma,20,6.315789473684211
6,SL Malinga,20,7.178571428571429
6,DW Steyn,19,5.63680387409201
7,MM Sharma,23,8.470588235294118
7,SP Narine,21,6.615384615384615
7,B Kumar,20,6.6583072100313485
7,RA Jadeja,19,8.079754601226993
7,Sandeep Sharma,18,8.29045643153527
7,AR Patel,17,6.257575757575758
7,MG Johnson,17,7.94392523364486
7,R Ashwin,16,7.069637883008356
7,SL Malinga,16,6.610169491525423
7,VR Aaron,16,7.827272727272728
8,DJ Bravo,26,8.140127388535031
8,SL Malinga,24,7.183333333333334
8,YS Chahal,23,8.839857651245552
8,A Nehra,22,7.096774193548387
8,MA Starc,20,6.6976744186046515
8,B Kumar,18,7.838709677419355
8,Harbhajan Singh,18,7.684210526315789
8,MJ McClenaghan,18,7.914893617021277
8,HV Patel,17,7.52851711026616
8,D Wiese,16,8.291338582677165
9,B Kumar,23,7.196969696969697
9,YS Chahal,21,7.891525423728814
9,SR Watson,20,8.265486725663717
9,DS Kulkarni,18,7.387755102040816
9,DJ Bravo,17,8.660714285714286
9,MJ McClenaghan,17,8.11875
9,Mustafizur Rahman,17,6.836065573770492
9,AD Russell,15,8.0
